"year","Model","Temperature","RCP"
2026,"ACCESS1_3",19.51498603821,8.5
2027,"ACCESS1_3",19.02170562744,8.5
2028,"ACCESS1_3",19.1472454071,8.5
2029,"ACCESS1_3",19.22213554382,8.5
2030,"ACCESS1_3",19.5608997345,8.5
2031,"ACCESS1_3",19.19594192505,8.5
2032,"ACCESS1_3",19.47403335571,8.5
2033,"ACCESS1_3",19.34576416016,8.5
2034,"ACCESS1_3",19.12764358521,8.5
2035,"ACCESS1_3",19.25891685486,8.5
2036,"ACCESS1_3",19.03172683716,8.5
2037,"ACCESS1_3",18.93556785583,8.5
2038,"ACCESS1_3",20.17195701599,8.5
2039,"ACCESS1_3",19.47222137451,8.5
2040,"ACCESS1_3",19.64561843872,8.5
2041,"ACCESS1_3",19.19392204285,8.5
2042,"ACCESS1_3",19.58016204834,8.5
2043,"ACCESS1_3",19.76872825623,8.5
2044,"ACCESS1_3",20.25345993042,8.5
2045,"ACCESS1_3",20.2654800415,8.5
2046,"ACCESS1_3",19.53742218018,8.5
2047,"ACCESS1_3",20.47882270813,8.5
2048,"ACCESS1_3",20.29793930054,8.5
2049,"ACCESS1_3",20.03758621216,8.5
2050,"ACCESS1_3",20.35716247559,8.5
2051,"ACCESS1_3",20.63935089111,8.5
2052,"ACCESS1_3",20.71989440918,8.5
2053,"ACCESS1_3",19.86985206604,8.5
2054,"ACCESS1_3",19.94500923157,8.5
2055,"ACCESS1_3",20.83484840393,8.5
2056,"ACCESS1_3",21.00357246399,8.5
2057,"ACCESS1_3",20.78635978699,8.5
2058,"ACCESS1_3",21.10304069519,8.5
2059,"ACCESS1_3",20.80887794495,8.5
2060,"ACCESS1_3",20.91708183289,8.5
2061,"ACCESS1_3",20.80571746826,8.5
2062,"ACCESS1_3",21.21415710449,8.5
2063,"ACCESS1_3",20.57850837708,8.5
2064,"ACCESS1_3",21.15790367126,8.5
2065,"ACCESS1_3",21.20911407471,8.5
2066,"ACCESS1_3",21.19895172119,8.5
2067,"ACCESS1_3",21.33199691772,8.5
2068,"ACCESS1_3",20.83305358887,8.5
2069,"ACCESS1_3",21.18795204163,8.5
2070,"ACCESS1_3",21.91669464111,8.5
2071,"ACCESS1_3",22.05275344849,8.5
2072,"ACCESS1_3",21.4611530304,8.5
2073,"ACCESS1_3",21.77732849121,8.5
2074,"ACCESS1_3",21.53239631653,8.5
2075,"ACCESS1_3",21.06957626343,8.5
2076,"ACCESS1_3",21.47413253784,8.5
2077,"ACCESS1_3",21.82801246643,8.5
2078,"ACCESS1_3",21.65496444702,8.5
2079,"ACCESS1_3",21.51995849609,8.5
2080,"ACCESS1_3",21.50959396362,8.5
2081,"ACCESS1_3",21.90299987793,8.5
2082,"ACCESS1_3",21.08228683472,8.5
2083,"ACCESS1_3",21.44172859192,8.5
2084,"ACCESS1_3",21.29327774048,8.5
2085,"ACCESS1_3",20.87879943848,8.5
2086,"ACCESS1_3",21.02672576904,8.5
2087,"ACCESS1_3",22.01438522339,8.5
2088,"ACCESS1_3",22.17860221863,8.5
2089,"ACCESS1_3",22.29302787781,8.5
2090,"ACCESS1_3",22.30877494812,8.5
2091,"ACCESS1_3",22.05204772949,8.5
2092,"ACCESS1_3",21.30450057983,8.5
2093,"ACCESS1_3",21.99341583252,8.5
2094,"ACCESS1_3",22.26473236084,8.5
2095,"ACCESS1_3",21.67977333069,8.5
2096,"ACCESS1_3",22.12091255188,8.5
2097,"ACCESS1_3",21.69960594177,8.5
2098,"ACCESS1_3",22.12395477295,8.5
2099,"ACCESS1_3",21.99329566956,8.5
1901,"CAN_ESM2",18.07050704956,8.5
1902,"CAN_ESM2",17.3926410675,8.5
1903,"CAN_ESM2",17.33289337158,8.5
1904,"CAN_ESM2",17.39468193054,8.5
1905,"CAN_ESM2",17.53154563904,8.5
1906,"CAN_ESM2",17.34686470032,8.5
1907,"CAN_ESM2",18.00075531006,8.5
1908,"CAN_ESM2",17.51212882996,8.5
1909,"CAN_ESM2",17.76374435425,8.5
1910,"CAN_ESM2",17.55670928955,8.5
1911,"CAN_ESM2",17.96564865112,8.5
1912,"CAN_ESM2",17.81711959839,8.5
1913,"CAN_ESM2",17.52129173279,8.5
1914,"CAN_ESM2",17.89259719849,8.5
1915,"CAN_ESM2",17.08032608032,8.5
1916,"CAN_ESM2",17.77074813843,8.5
1917,"CAN_ESM2",17.7006778717,8.5
1918,"CAN_ESM2",17.84937858582,8.5
1919,"CAN_ESM2",17.7981967926,8.5
1920,"CAN_ESM2",17.73337936401,8.5
1921,"CAN_ESM2",18.26445007324,8.5
1922,"CAN_ESM2",18.45023918152,8.5
1923,"CAN_ESM2",17.77965164185,8.5
1924,"CAN_ESM2",17.63841056824,8.5
1925,"CAN_ESM2",17.39554405212,8.5
1926,"CAN_ESM2",17.51486778259,8.5
1927,"CAN_ESM2",17.58923149109,8.5
1928,"CAN_ESM2",17.98656654358,8.5
1929,"CAN_ESM2",17.68719100952,8.5
1930,"CAN_ESM2",17.67518997192,8.5
1931,"CAN_ESM2",17.75826454163,8.5
1932,"CAN_ESM2",17.73717689514,8.5
1933,"CAN_ESM2",17.59847450256,8.5
1934,"CAN_ESM2",17.97437286377,8.5
1935,"CAN_ESM2",18.33498001099,8.5
1936,"CAN_ESM2",18.09663963318,8.5
1937,"CAN_ESM2",18.23308944702,8.5
1938,"CAN_ESM2",17.83206748962,8.5
1939,"CAN_ESM2",17.96482658386,8.5
1940,"CAN_ESM2",17.98757743835,8.5
1941,"CAN_ESM2",18.09433364868,8.5
1942,"CAN_ESM2",18.47642326355,8.5
1943,"CAN_ESM2",17.61940956116,8.5
1944,"CAN_ESM2",17.72766876221,8.5
1945,"CAN_ESM2",17.642162323,8.5
1946,"CAN_ESM2",17.843126297,8.5
1947,"CAN_ESM2",17.64384460449,8.5
1948,"CAN_ESM2",17.58287239075,8.5
1949,"CAN_ESM2",18.52555656433,8.5
1950,"CAN_ESM2",18.15697860718,8.5
1951,"CAN_ESM2",18.1381072998,8.5
1952,"CAN_ESM2",17.85791397095,8.5
1953,"CAN_ESM2",17.55285835266,8.5
1954,"CAN_ESM2",18.50680541992,8.5
1955,"CAN_ESM2",17.83992767334,8.5
1956,"CAN_ESM2",17.85880279541,8.5
1957,"CAN_ESM2",17.936668396,8.5
1958,"CAN_ESM2",17.59396362305,8.5
1959,"CAN_ESM2",17.77206611633,8.5
1960,"CAN_ESM2",18.13843536377,8.5
1961,"CAN_ESM2",17.54528617859,8.5
1962,"CAN_ESM2",17.80728721619,8.5
1963,"CAN_ESM2",17.36758422852,8.5
1964,"CAN_ESM2",17.74018096924,8.5
1965,"CAN_ESM2",17.48698425293,8.5
1966,"CAN_ESM2",17.02698135376,8.5
1967,"CAN_ESM2",16.71305656433,8.5
1968,"CAN_ESM2",16.98134994507,8.5
1969,"CAN_ESM2",16.58556938171,8.5
1970,"CAN_ESM2",16.94500732422,8.5
1971,"CAN_ESM2",17.0456161499,8.5
1972,"CAN_ESM2",17.95472335815,8.5
1973,"CAN_ESM2",17.46829795837,8.5
1974,"CAN_ESM2",17.53066635132,8.5
1975,"CAN_ESM2",17.8453578949,8.5
1976,"CAN_ESM2",18.04455566406,8.5
1977,"CAN_ESM2",17.95325469971,8.5
1978,"CAN_ESM2",17.88052368164,8.5
1979,"CAN_ESM2",17.66322898865,8.5
1980,"CAN_ESM2",18.11605644226,8.5
1981,"CAN_ESM2",17.85703086853,8.5
1982,"CAN_ESM2",18.28922653198,8.5
1983,"CAN_ESM2",18.27573394775,8.5
1984,"CAN_ESM2",17.46041488647,8.5
1985,"CAN_ESM2",18.0491027832,8.5
1986,"CAN_ESM2",18.16209602356,8.5
1987,"CAN_ESM2",17.84461784363,8.5
1988,"CAN_ESM2",18.0393447876,8.5
1989,"CAN_ESM2",18.115650177,8.5
1990,"CAN_ESM2",17.909740448,8.5
1991,"CAN_ESM2",18.45840835571,8.5
1992,"CAN_ESM2",18.04995727539,8.5
