"stock","year","age","re"
"haddockGOM",2013,"Age 1",2.38136102491879
"haddockGOM",2013,"Age 2",0.52329377635157
"haddockGOM",2013,"Age 3",0.335180753842801
"haddockGOM",2013,"Age 4",0.400667237360697
"haddockGOM",2013,"Age 5",0.562882698696811
"haddockGOM",2013,"Age 6",0.474231435525539
"haddockGOM",2013,"Age 7",0.465358408237808
"haddockGOM",2013,"Age 8",0.339594829391754
"haddockGOM",2013,"Age 9",0.0600002592879907
"haddockGOM",2014,"Age 1",3.15143221562615
"haddockGOM",2014,"Age 2",0.379521363721299
"haddockGOM",2014,"Age 3",0.517140945243533
"haddockGOM",2014,"Age 4",0.670459775623154
"haddockGOM",2014,"Age 5",0.355852452672052
"haddockGOM",2014,"Age 6",0.346875691049376
"haddockGOM",2014,"Age 7",0.163816347717044
"haddockGOM",2014,"Age 8",0.107332953798739
"haddockGOM",2014,"Age 9",-0.0918055098663686
"haddockGOM",2015,"Age 1",1.54901063412704
"haddockGOM",2015,"Age 2",1.16983022291112
"haddockGOM",2015,"Age 3",0.294356352476917
"haddockGOM",2015,"Age 4",-0.00421623027717999
"haddockGOM",2015,"Age 5",-0.039734819214484
"haddockGOM",2015,"Age 6",-0.0260966378718539
"haddockGOM",2015,"Age 7",-0.033018489069919
"haddockGOM",2015,"Age 8",0.021717013468483
"haddockGOM",2015,"Age 9",-0.00573343694809214
"haddockGOM",2016,"Age 1",1.64324477937645
"haddockGOM",2016,"Age 2",0.0255521149454552
"haddockGOM",2016,"Age 3",0.0609403459291045
"haddockGOM",2016,"Age 4",-0.404322404392571
"haddockGOM",2016,"Age 5",-0.0745363401976107
"haddockGOM",2016,"Age 6",-0.0820156950312825
"haddockGOM",2016,"Age 7",-0.0232202301654345
"haddockGOM",2016,"Age 8",-0.03816868844007
"haddockGOM",2016,"Age 9",-0.211203705876775
"haddockGOM",2017,"Age 1",1.72200292091129
"haddockGOM",2017,"Age 2",-0.125960624535864
"haddockGOM",2017,"Age 3",-0.0433672247359187
"haddockGOM",2017,"Age 4",-0.119694155553125
"haddockGOM",2017,"Age 5",-0.429249290257241
"haddockGOM",2017,"Age 6",-0.431051262457874
"haddockGOM",2017,"Age 7",-0.323235086775652
"haddockGOM",2017,"Age 8",-0.086626004380407
"haddockGOM",2017,"Age 9",-0.486908214975929
"haddockGOM",2018,"Age 1",1.28545399938758
"haddockGOM",2018,"Age 2",0.143568779637217
"haddockGOM",2018,"Age 3",0.191926349877912
"haddockGOM",2018,"Age 4",0.233448008451177
"haddockGOM",2018,"Age 5",0.304827097089255
"haddockGOM",2018,"Age 6",0.0478110411063035
"haddockGOM",2018,"Age 7",-0.0468471245214364
"haddockGOM",2018,"Age 8",-0.399117370679267
