"","Stock","Total","Commercial","Sector","Common Pool","Recreational","Herring Fishery","Scallop Fishery","State Water","Other","Year","Small Mesh","data_type"
"273","Redfish",NA,NA,NA,64,NA,NA,NA,120,239,2015,NA,"ACL"
"274","White Hake",NA,NA,NA,32,NA,NA,NA,47,94,2015,NA,"ACL"
"275","Pollock",NA,NA,NA,86,NA,NA,NA,996,NA,2015,NA,"ACL"
"276","Northern Windowpane",144,98,NA,98,NA,NA,NA,2,44,2015,NA,"ACL"
"277","Southern Windowpane",527,102,NA,102,NA,NA,183,55,186,2015,NA,"ACL"
"278","Ocean Pout",220,195,NA,195,NA,NA,NA,2,24,2015,NA,"ACL"
"279","Halibut",97,64,NA,64,NA,NA,NA,30,3,2015,NA,"ACL"
"280","Wolffish",65,62,NA,62,NA,NA,NA,1,3,2015,NA,"ACL"
"281","GB Cod",730,608,597,11,NA,NA,NA,23,99,2016,NA,"ACL"
"282","GOM Cod",473,437,271,9,157,NA,NA,27,10,2016,NA,"ACL"
"283","GB Haddock",NA,NA,NA,339,NA,512,NA,561,561,2016,NA,"ACL"
"284","GOM Haddock",NA,NA,NA,26,928,34,NA,26,26,2016,NA,"ACL"
"285","GB Yellowtail Flounder",261,250.8,247.1,3.7,NA,NA,2.2,NA,3,2016,5,"ACL"
"286","SNE Yellowtail Flounder",256,204,169,35,NA,NA,17,5,29,2016,NA,"ACL"
"287","CC/GOM Yellowtail Flounder",409,341,327,14,NA,NA,NA,43,26,2016,NA,"ACL"
"288","Plaice",NA,NA,NA,20,NA,NA,NA,26,26,2016,NA,"ACL"
"289","Witch Flounder",441,370,362,8,NA,NA,NA,12,59,2016,NA,"ACL"
"290","GB Winter Flounder",650,590,585,5,NA,NA,NA,NA,60,2016,NA,"ACL"
"291","GOM Winter Flounder",776,639,607,32,NA,NA,NA,122,16,2016,NA,"ACL"
"292","SNE/MA Winter Flounder",749,585,523,62,NA,NA,NA,70,94,2016,NA,"ACL"
"293","Redfish",NA,NA,NA,52,NA,NA,NA,103,207,2016,NA,"ACL"
"294","White Hake",NA,NA,NA,26,NA,NA,NA,38,75,2016,NA,"ACL"
"295","Pollock",NA,NA,NA,113,NA,NA,NA,NA,NA,2016,NA,"ACL"
"296","Northern Windowpane",177,66,NA,66,NA,NA,NA,2,109,2016,NA,"ACL"
"297","Southern Windowpane",599,104,NA,104,NA,NA,209,37,249,2016,NA,"ACL"
"298","Ocean Pout",155,137,NA,137,NA,NA,NA,2,17,2016,NA,"ACL"
"299","Halibut",119,91,NA,91,NA,NA,NA,25,4,2016,NA,"ACL"
"300","Wolffish",77,72,NA,72,NA,NA,NA,1,3,2016,NA,"ACL"
"301","GB Cod",637,531,521,7,NA,NA,NA,20,86,2017,NA,"ACL"
"302","GOM Cod",473,437,271,9,157,NA,NA,27,10,2017,NA,"ACL"
"303","GB Haddock",NA,NA,NA,367,NA,801,NA,574,574,2017,NA,"ACL"
"304","GOM Haddock",NA,NA,NA,33,NA,42,NA,33,33,2017,NA,"ACL"
"305","GB Yellowtail Flounder",201,163,160,2,NA,NA,32,NA,2.1,2017,4,"ACL"
"306","SNE Yellowtail Flounder",256,217,176,42,NA,NA,4,5,29,2017,NA,"ACL"
"307","CC/GOM Yellowtail Flounder",409,341,326,15,NA,NA,NA,43,26,2017,NA,"ACL"
"308","Plaice",NA,NA,NA,23,NA,NA,NA,27,27,2017,NA,"ACL"
"309","Witch Flounder",839,734,718,16,NA,NA,NA,35,70,2017,NA,"ACL"
"310","GB Winter Flounder",683,620,615,5,NA,NA,NA,NA,63,2017,NA,"ACL"
"311","GOM Winter Flounder",776,639,607,32,NA,NA,NA,122,16,2017,NA,"ACL"
"312","SNE/MA Winter Flounder",749,585,515,70,NA,NA,NA,70,94,2017,NA,"ACL"
"313","Redfish",NA,NA,NA,56,NA,NA,NA,111,221,2017,NA,"ACL"
"314","White Hake",NA,NA,NA,27,NA,NA,NA,36,73,2017,NA,"ACL"
"315","Pollock",NA,NA,NA,113,NA,NA,NA,NA,NA,2017,NA,"ACL"
"316","Northern Windowpane",170,129,NA,129,NA,NA,36,2,4,2017,NA,"ACL"
"317","Southern Windowpane",599,104,NA,104,NA,NA,209,37,249,2017,NA,"ACL"
"318","Ocean Pout",155,130,NA,130,NA,NA,NA,2,23,2017,NA,"ACL"
"319","Halibut",119,91,NA,91,NA,NA,NA,25,4,2017,NA,"ACL"
"320","Wolffish",77,72,NA,72,NA,NA,NA,1,3,2017,NA,"ACL"
"321","GB cod",83.7,82.5,83.2,65.6,NA,NA,NA,73,112.8,2010,NA,"CtoACL"
"322","GOM cod",71,75.9,83.6,94.2,61.9,NA,NA,33.6,20.4,2010,NA,"CtoACL"
"323","GB Haddock",20,20.6,20.5,36.3,NA,82.3,NA,0.3,7.3,2010,NA,"CtoACL"
"324","GOM Haddock",65.5,67.4,46.4,27.4,122.3,25.5,NA,94.6,4.4,2010,NA,"CtoACL"
"325","GB Yellowtail Flounder",79.3,92.1,92,93.1,NA,NA,12.1,NA,66.2,2010,NA,"CtoACL"
"326","SNE Yellowtail Flounder",67,55.4,64.9,25.9,NA,NA,83.7,134.4,115.5,2010,NA,"CtoACL"
"327","CC/GOM Yellowtail Flounder",81.7,76.6,76.8,73.8,NA,NA,NA,368.6,118.7,2010,NA,"CtoACL"
"328","Plaice",53.5,53.9,54.7,32.8,NA,NA,NA,78.3,36.7,2010,NA,"CtoACL"
"329","Witch Flounder",92.6,85.1,84.1,119.9,NA,NA,NA,261.2,220.2,2010,NA,"CtoACL"
"330","GB Winter Flounder",78.3,75.1,75.8,30.3,NA,NA,NA,NA,136,2010,NA,"CtoACL"
"331","GOM Winter Flounder",83.8,67.2,60.7,101.6,NA,NA,NA,107.1,192.9,2010,NA,"CtoACL"
"332","SNE Winter Flounder",61.2,9.1,NA,NA,NA,NA,NA,341.4,443.1,2010,NA,"CtoACL"
"333","Redfish",30,31.4,31.7,8.8,NA,NA,NA,13.9,1.7,2010,NA,"CtoACL"
"334","White Hake",86.9,88.4,88.4,86.6,NA,NA,NA,90.2,52.8,2010,NA,"CtoACL"
"335","Pollock",39.8,33.8,33.7,40.3,NA,NA,NA,89.2,73.3,2010,NA,"CtoACL"
"336","Northern Windowpane",101,139.5,NA,NA,NA,NA,NA,0.4,18.6,2010,NA,"CtoACL"
"337","Southern Windowpane",237.7,47.8,NA,NA,NA,NA,NA,NA,623.6,2010,NA,"CtoACL"
"338","Ocean Pout",40.5,27.3,NA,NA,NA,NA,NA,1.1,337.4,2010,NA,"CtoACL"
"339","Halibut",52.5,92.8,NA,NA,NA,NA,NA,18.2,45.9,2010,NA,"CtoACL"
"340","Wolffish",29.2,30.7,NA,NA,NA,NA,NA,2.7,2.7,2010,NA,"CtoACL"
"341","GB cod",68,68.8,68.9,66.1,NA,NA,NA,81.1,47.2,2011,NA,"CtoACL"
"342","GOM cod",69.2,74.1,83.4,89.9,58.1,NA,NA,36.3,9.6,2011,NA,"CtoACL"
"343","GB Haddock",1.3,NA,0,6.3,NA,32,NA,1.1,22.3,2011,NA,"CtoACL"
"344","GOM Haddock",57.7,59.4,52.6,24.3,77.4,1.7,NA,54.6,24.1,2011,NA,"CtoACL"
"345","GB Yellowtail Flounder",78.9,86.7,88.1,10.1,NA,NA,41.8,NA,59.1,2011,NA,"CtoACL"
"346","SNE Yellowtail Flounder",76.7,67.3,84.3,10.2,NA,NA,135.2,15.6,98.9,2011,NA,"CtoACL"
"347","CC/GOM Yellowtail Flounder",78.9,78.3,79.4,42.1,NA,NA,NA,384.8,19.3,2011,NA,"CtoACL"
"348","Plaice",42.3,43.8,44.7,6.4,NA,NA,NA,35.5,9.1,2011,NA,"CtoACL"
"349","Witch Flounder",84.8,74.1,75.3,16.8,NA,NA,NA,161,302.5,2011,NA,"CtoACL"
"350","GB Winter Flounder",85.1,86.9,87.4,8.2,NA,NA,NA,NA,53.5,2011,NA,"CtoACL"
"351","GOM Winter Flounder",52.4,45,46.5,16.5,NA,NA,NA,69.5,41.3,2011,NA,"CtoACL"
"352","SNE/MA Winter Flounder",35.5,12.9,NA,NA,NA,NA,NA,55.6,366.4,2011,NA,"CtoACL"
"353","Redfish",25.7,26.9,27,9.9,NA,NA,NA,4.3,3.1,2011,NA,"CtoACL"
"354","White Hake",88.9,93.5,93.9,50.4,NA,NA,NA,7.9,3.3,2011,NA,"CtoACL"
"355","Pollock",46.1,43,42.8,66.6,NA,NA,NA,90.3,52.4,2011,NA,"CtoACL"
"356","Northern Windowpane",118.8,142.2,NA,NA,NA,NA,NA,0.5,71,2011,NA,"CtoACL"
"357","Southern Windowpane",224,72.4,NA,NA,NA,NA,NA,829.1,544.9,2011,NA,"CtoACL"
"358","Ocean Pout",35.7,25.4,NA,NA,NA,NA,NA,0,268.5,2011,NA,"CtoACL"
"359","Halibut",68.6,129.1,NA,NA,NA,NA,NA,18.1,61.6,2011,NA,"CtoACL"
"360","Wolffish",42.8,45.1,NA,NA,NA,NA,NA,0,2.4,2011,NA,"CtoACL"
"361","GB cod",26.9,26.1,26,35.4,NA,NA,NA,42.2,39.7,2012,NA,"CtoACL"
"362","GOM cod",58.3,60.4,47.4,37.3,74.2,NA,NA,17.6,6.9,2012,NA,"CtoACL"
"363","GB Haddock",1.1,0,NA,0.6,NA,100.9,NA,4.6,2,2012,NA,"CtoACL"
"364","GOM Haddock",47.3,49.3,25.9,18.6,108.4,0.6,NA,11.1,7.1,2012,NA,"CtoACL"
"365","GB Yellowtail Flounder",70.3,58.5,59.1,6.1,NA,NA,104.5,NA,23.9,2012,NA,"CtoACL"
"366","SNE Yellowtail Flounder",59.3,55.8,63.7,24.4,NA,NA,42.5,120.2,161.5,2012,NA,"CtoACL"
"367","CC/GOM Yellowtail Flounder",83.5,82.9,84.7,13,NA,NA,NA,96.4,91,2012,NA,"CtoACL"
"368","Plaice",38.8,39.7,40.3,6.1,NA,NA,NA,42.5,15.7,2012,NA,"CtoACL"
"369","Witch Flounder",67.4,59.6,60.3,10.5,NA,NA,NA,57.5,246.2,2012,NA,"CtoACL"
"370","GB Winter Flounder",53.4,52.6,52.9,3.9,NA,NA,NA,NA,67,2012,NA,"CtoACL"
"371","GOM Winter Flounder",28.1,32,32.9,7.8,NA,NA,NA,22.1,4.9,2012,NA,"CtoACL"
"372","SNE/MA Winter Flounder",52.4,35,NA,NA,NA,NA,NA,33.7,120.8,2012,NA,"CtoACL"
"373","Redfish",42.1,44.2,44.3,16.6,NA,NA,NA,14.5,0.8,2012,NA,"CtoACL"
"374","White Hake",67.2,70.5,70.3,91.6,NA,NA,NA,3.8,11,2012,NA,"CtoACL"
"375","Pollock",45.5,40.3,40,82.7,NA,NA,NA,70.6,80.1,2012,NA,"CtoACL"
"376","Northern Windowpane",128.2,100.5,NA,NA,NA,NA,NA,115.9,233.2,2012,NA,"CtoACL"
"377","Southern Windowpane",136.7,147.9,NA,NA,NA,NA,NA,88.3,140.7,2012,NA,"CtoACL"
"378","Ocean Pout",22.2,18.3,NA,NA,NA,NA,NA,38.5,56.3,2012,NA,"CtoACL"
"379","Halibut",91.2,168.7,NA,NA,NA,NA,NA,30.8,42.2,2012,NA,"CtoACL"
"380","Wolffish",42,41.3,NA,NA,NA,NA,NA,99.2,40.6,2012,NA,"CtoACL"
"381","GB Cod",84.8,87,86.8,101,NA,NA,NA,46,42.8,2013,NA,"CtoACL"
"382","GOM cod",96.5,104.9,90.2,48.9,131.5,NA,NA,34.7,5.7,2013,NA,"CtoACL"
"383","GB Haddock",11.9,11.4,11.4,0.5,NA,106.2,NA,2.1,4.8,2013,NA,"CtoACL"
"384","GOM Haddock",147.9,154.4,91.2,108.9,312.2,NA,NA,30.4,25.3,2013,NA,"CtoACL"
"385","GB Yellowtail Flounder",44.7,36.1,36.5,0.4,NA,NA,90.3,NA,0.6,2013,63.7,"CtoACL"
"386","SNE Yellowtail Flounder",70.1,63.7,57.8,93.1,NA,NA,111.4,206.5,106.3,2013,NA,"CtoACL"
"387","CC/GOM Yellowtail Flounder",86.7,79.4,80.9,31.5,NA,NA,NA,130.2,271.3,2013,NA,"CtoACL"
"388","Plaice",97.5,98.3,99.8,14.3,NA,NA,NA,63,95.7,2013,NA,"CtoACL"
"389","Witch Flounder",99.2,105.3,106.6,30.6,NA,NA,NA,115.5,64.5,2013,NA,"CtoACL"
"390","GB Winter Flounder",48.4,48.8,49.1,0,NA,NA,NA,NA,36.5,2013,NA,"CtoACL"
"391","GOM Winter Flounder",23.6,23.7,24.4,6.6,NA,NA,NA,24.8,16.5,2013,NA,"CtoACL"
"392","SNE/MA Winter Flounder",63.6,65.2,62.4,87,NA,NA,NA,23.7,108.1,2013,NA,"CtoACL"
"393","Redfish",38.5,39.5,39.6,10.9,NA,NA,NA,17.3,1.8,2013,NA,"CtoACL"
"394","White Hake",51.7,53.1,53.4,21.6,NA,NA,NA,5.5,9.9,2013,NA,"CtoACL"
"395","Pollock",47.1,38.1,38.1,40.2,NA,NA,NA,104.9,103.7,2013,NA,"CtoACL"
"396","Northern Windowpane",195,242.4,NA,NA,NA,NA,NA,62.2,95,2013,NA,"CtoACL"
"397","Southern Windowpane",105.3,113.7,NA,NA,NA,NA,70.5,67.9,146.4,2013,NA,"CtoACL"
"398","Ocean Pout",26.9,16.9,NA,NA,NA,NA,NA,62.6,116.4,2013,NA,"CtoACL"
"399","Halibut",82.1,105.2,NA,NA,NA,NA,NA,57.5,31,2013,NA,"CtoACL"
"400","Wolffish",29.3,27.6,NA,NA,NA,NA,NA,185,26.3,2013,NA,"CtoACL"
"401","GB Cod",81.1,78.4,78.6,65.8,NA,NA,NA,99.5,138.5,2014,NA,"CtoACL"
"402","GOM cod",94.9,97.8,80.5,57.1,128.3,NA,NA,37.1,136.5,2014,NA,"CtoACL"
"403","GB Haddock",34.8,31.7,32,0.7,NA,70.1,NA,4.2,103.1,2014,NA,"CtoACL"
"404","GOM Haddock",159,161.5,75,21.6,380.7,NA,NA,47.9,207.7,2014,NA,"CtoACL"
"405","GB Yellowtail Flounder",38.6,24.5,24.9,1.4,NA,NA,116.4,NA,0.2,2014,18.1,"CtoACL"
"406","SNE Yellowtail Flounder",74.7,71,67.7,85.7,NA,NA,98.2,8.9,111.7,2014,NA,"CtoACL"
"407","CC/GOM Yellowtail Flounder",64.1,52.3,53.9,6.3,NA,NA,NA,139.2,354.6,2014,NA,"CtoACL"
"408","Plaice",93.1,94.1,95.3,31.3,NA,NA,NA,57.9,78.6,2014,NA,"CtoACL"
"409","Witch Flounder",83.1,84.5,86,9.6,NA,NA,NA,162.8,60,2014,NA,"CtoACL"
"410","GB Winter Flounder",34.2,34,34.2,0.1,NA,NA,NA,NA,40.6,2014,NA,"CtoACL"
"411","GOM Winter Flounder",23.1,17.4,18.1,1.9,NA,NA,NA,41.7,6,2014,NA,"CtoACL"
"412","SNE/MA Winter Flounder",43.6,45.1,46.1,37.9,NA,NA,NA,30.3,51.5,2014,NA,"CtoACL"
"413","Redfish",43.5,44.4,44.5,11.4,NA,NA,NA,15.8,19,2014,NA,"CtoACL"
"414","White Hake",46.6,40.9,41,28.6,NA,NA,NA,3.3,331.7,2014,NA,"CtoACL"
"415","Pollock",31.1,30.4,30.2,52.6,NA,NA,NA,56.6,17.4,2014,NA,"CtoACL"
"416","Northern Windowpane",187.5,160.9,NA,NA,NA,NA,NA,180.5,248.6,2014,NA,"CtoACL"
"417","Southern Windowpane",90.8,94.4,NA,NA,NA,NA,76.5,42.7,117.1,2014,NA,"CtoACL"
"418","Ocean Pout",54.6,16.8,NA,NA,NA,NA,NA,163.9,393.5,2014,NA,"CtoACL"
"419","Halibut",74.2,83.9,NA,NA,NA,NA,NA,65.9,38.8,2014,NA,"CtoACL"
"420","Wolffish",23.1,23,NA,NA,NA,NA,NA,97.9,5.9,2014,NA,"CtoACL"
"421","GB Cod",97.3,91.6,91.6,95.8,NA,NA,NA,230,193.2,2015,NA,"CtoACL"
"422","GOM Cod",88.8,82.6,90.2,86.3,69.8,NA,NA,181.2,58.8,2015,NA,"CtoACL"
"423","GB Haddock",25.9,23.3,23.5,0.1,NA,103.9,NA,10.3,68.6,2015,NA,"CtoACL"
"424","GOM Haddock",82.9,83.6,76.8,24.8,102.7,NA,NA,38.2,116.8,2015,NA,"CtoACL"
"425","GB Yellowtail Flounder",28.4,18.9,19.3,0.2,NA,NA,98.8,NA,0.1,2015,1,"CtoACL"
"426","SNE Yellowtail Flounder",49,48.9,37.9,91.7,NA,NA,79.1,15.4,22.5,2015,NA,"CtoACL"
"427","CC/GOM Yellowtail Flounder",88.9,84.1,85,64,NA,NA,NA,137.1,101.9,2015,NA,"CtoACL"
"428","Plaice",96.9,98,98.9,51.5,NA,NA,NA,75.5,70.6,2015,NA,"CtoACL"
"429","Witch Flounder",85.1,88,87.8,98.7,NA,NA,NA,171.2,53,2015,NA,"CtoACL"
"430","GB Winter Flounder",45.4,45.9,46.4,0,NA,NA,NA,NA,29.3,2015,NA,"CtoACL"
"431","GOM Winter Flounder",42.1,30.9,31.7,16.3,NA,NA,NA,92,49.1,2015,NA,"CtoACL"
"432","SNE/MA Winter Flounder",55.2,52.7,50.9,65.6,NA,NA,NA,72.6,61.6,2015,NA,"CtoACL"
"433","Redfish",46.4,47.9,48.2,0.5,NA,NA,NA,3.6,1.2,2015,NA,"CtoACL"
"434","White Hake",35.8,36.8,37.1,0.8,NA,NA,NA,1.5,7.2,2015,NA,"CtoACL"
"435","Pollock",25.2,21.3,21.1,54.4,NA,NA,NA,44.3,54.2,2015,NA,"CtoACL"
"436","Northern Windowpane",131.8,75.1,NA,NA,NA,NA,NA,84.1,262.3,2015,NA,"CtoACL"
"437","Southern Windowpane",122.1,134.9,NA,NA,NA,NA,115.1,71.3,137.5,2015,NA,"CtoACL"
"438","Ocean Pout",34.7,26.8,NA,NA,NA,NA,NA,74.3,94.7,2015,NA,"CtoACL"
"439","Halibut",105.2,92.2,NA,NA,NA,NA,NA,137.1,63.1,2015,NA,"CtoACL"
"440","Wolffish",30.4,30.1,NA,NA,NA,NA,NA,99.3,12.6,2015,NA,"CtoACL"
"441","GB Cod",155.1,98.1,97.6,124.8,NA,NA,NA,337.1,462.6,2016,NA,"CtoACL"
"442","GOM Cod",134,125.3,96,68.8,178.9,NA,NA,286.3,89.9,2016,NA,"CtoACL"
"443","GB Haddock",9,8.5,8.6,0.3,NA,23.2,NA,2.5,47.5,2016,NA,"CtoACL"
"444","GOM Haddock",75.3,74,65.9,40.4,95.6,5.7,NA,35.5,379,2016,NA,"CtoACL"
"445","GB Yellowtail Flounder",11.8,9.5,9.7,NA,NA,NA,93.8,NA,0,2016,95.2,"CtoACL"
"446","SNE Yellowtail Flounder",33.1,30.6,26.3,51.3,NA,NA,63.9,13.2,37.3,2016,NA,"CtoACL"
"447","CC/GOM Yellowtail Flounder",88.1,76.5,76.2,83.7,NA,NA,NA,118,187.3,2016,NA,"CtoACL"
"448","Plaice",97.9,96.3,96.5,86.6,NA,NA,NA,138.3,129.5,2016,NA,"CtoACL"
"449","Witch Flounder",104.4,97,97,94.2,NA,NA,NA,385.4,93.6,2016,NA,"CtoACL"
"450","GB Winter Flounder",65.7,71.6,72.2,NA,NA,NA,NA,NA,7.2,2016,NA,"CtoACL"
"451","GOM Winter Flounder",31.9,17.5,18,8.4,NA,NA,NA,107.1,32,2016,NA,"CtoACL"
"452","SNE/MA Winter Flounder",79.7,77.5,75.8,91.6,NA,NA,NA,37.4,125.3,2016,NA,"CtoACL"
"453","Redfish",41.6,42.8,43,0.9,NA,NA,NA,4.6,4.3,2016,NA,"CtoACL"
"454","White Hake",41.5,42.6,42.9,2.7,NA,NA,NA,3.2,13.4,2016,NA,"CtoACL"
"455","Pollock",19.6,16.8,16.7,20.9,NA,NA,NA,49.4,29.8,2016,NA,"CtoACL"
"456","Northern Windowpane",47.3,68.2,NA,NA,NA,NA,NA,37.3,34.8,2016,NA,"CtoACL"
"457","Southern Windowpane",69.7,121.9,NA,NA,NA,NA,40.4,75.7,71.5,2016,NA,"CtoACL"
"458","Ocean Pout",27.9,12.5,NA,NA,NA,NA,NA,21.4,151.7,2016,NA,"CtoACL"
"459","Halibut",90.8,62.5,NA,NA,NA,NA,NA,191.1,83.4,2016,NA,"CtoACL"
"460","Wolffish",1,0.8,NA,NA,NA,NA,NA,1.9,5.8,2016,NA,"CtoACL"
"461","GB Cod",82,84,84.4,92.5,NA,NA,NA,48.6,77.6,2017,NA,"CtoACL"
"462","GOM Cod",129.5,117.6,96.1,89.9,156.3,NA,NA,257.2,289.1,2017,NA,"CtoACL"
"463","GB Haddock",7.9,7.8,7.8,0.1,NA,6,NA,2.1,31.4,2017,NA,"CtoACL"
"464","GOM Haddock",73.4,73.3,75.4,43,68.5,NA,NA,89.1,170.3,2017,NA,"CtoACL"
"465","GB Yellowtail Flounder",41.8,19.1,19.4,NA,NA,NA,164.3,NA,0.1,2017,9.7,"CtoACL"
"466","SNE Yellowtail Flounder",9.6,6.7,6,9.5,NA,NA,104.1,22.3,15.9,2017,NA,"CtoACL"
"467","CC/GOM Yellowtail Flounder",76.2,60.4,60.3,62.6,NA,NA,NA,167.2,130.4,2017,NA,"CtoACL"
