"","Time","Year","Month","Day","Season","ClimScenario","Lat_COG_10thPercentile","Lat_COG_Mean","Lat_COG_90thPercentile"
"211",2055-03-16,"2055","03","16","Spring","SSP5_85",4579.44209555714,4678.87997969861,4764.62250546817
"212",2055-07-16,"2055","07","16","Summer","SSP5_85",4695.14249626247,4769.29826167164,4850.4659491584
"213",2055-10-16,"2055","10","16","Fall","SSP5_85",4675.50605203589,4760.9193133308,4838.01233369365
"214",2056-03-16,"2056","03","16","Spring","SSP5_85",4579.7489349461,4679.47162544398,4766.89487986596
"215",2056-07-16,"2056","07","16","Summer","SSP5_85",4692.82848368055,4769.19202790656,4849.31090361488
"216",2056-10-16,"2056","10","16","Fall","SSP5_85",4676.47326458382,4758.44952718172,4838.38939874609
"217",2057-03-16,"2057","03","16","Spring","SSP5_85",4578.68375503218,4678.96301297189,4769.34531639646
"218",2057-07-16,"2057","07","16","Summer","SSP5_85",4694.62117315345,4770.00890759859,4850.43989287638
"219",2057-10-16,"2057","10","16","Fall","SSP5_85",4674.75971030347,4757.95849984873,4838.62829977469
"220",2058-03-16,"2058","03","16","Spring","SSP5_85",4578.89898502101,4676.67746757642,4768.23278839821
"221",2058-07-16,"2058","07","16","Summer","SSP5_85",4695.24978192692,4769.48387739276,4851.16887419464
"222",2058-10-16,"2058","10","16","Fall","SSP5_85",4672.35462125731,4756.77825627857,4838.3877101402
"223",2059-03-16,"2059","03","16","Spring","SSP5_85",4579.49595023549,4678.45793444323,4770.93141081831
"224",2059-07-16,"2059","07","16","Summer","SSP5_85",4696.69630459318,4770.31486430167,4849.58101741014
"225",2059-10-16,"2059","10","16","Fall","SSP5_85",4674.08169314289,4757.60590216595,4836.33469141811
"226",2060-03-16,"2060","03","16","Spring","SSP5_85",4582.4064281964,4678.06787315026,4765.79171191872
"227",2060-07-16,"2060","07","16","Summer","SSP5_85",4695.13304150808,4770.26142850919,4848.52696605737
"228",2060-10-16,"2060","10","16","Fall","SSP5_85",4676.68051429269,4759.11212276008,4839.33607824931
"229",2061-03-16,"2061","03","16","Spring","SSP5_85",4577.0537988474,4675.94149735914,4766.84400596365
"230",2061-07-16,"2061","07","16","Summer","SSP5_85",4695.25337020116,4773.72262381785,4850.75938558366
"231",2061-10-16,"2061","10","16","Fall","SSP5_85",4680.67211122101,4761.24131529866,4838.40047213789
"232",2062-03-16,"2062","03","16","Spring","SSP5_85",4584.3440518433,4680.52958561411,4770.93322276667
"233",2062-07-16,"2062","07","16","Summer","SSP5_85",4696.51124283154,4773.52749208243,4849.70431951376
"234",2062-10-16,"2062","10","16","Fall","SSP5_85",4680.89474137114,4760.62931719922,4842.15722993342
"235",2063-03-16,"2063","03","16","Spring","SSP5_85",4582.53690230272,4682.34900297301,4771.17155049518
"236",2063-07-16,"2063","07","16","Summer","SSP5_85",4698.58068579826,4773.35373249403,4851.41277878422
"237",2063-10-16,"2063","10","16","Fall","SSP5_85",4681.03484035986,4763.61367429699,4843.44988100712
"238",2064-03-16,"2064","03","16","Spring","SSP5_85",4580.95073114195,4682.51085668673,4771.57955139596
"239",2064-07-16,"2064","07","16","Summer","SSP5_85",4699.79349019627,4774.33485361789,4849.5131705127
"240",2064-10-16,"2064","10","16","Fall","SSP5_85",4686.15802849169,4764.68249822541,4843.1993181944
"241",2065-03-16,"2065","03","16","Spring","SSP5_85",4574.75604840209,4684.97641780539,4771.33875366252
"242",2065-07-16,"2065","07","16","Summer","SSP5_85",4699.1168833042,4776.02789510416,4850.29100979218
"243",2065-10-16,"2065","10","16","Fall","SSP5_85",4684.76515586199,4767.25650090788,4846.10637424107
"244",2066-03-16,"2066","03","16","Spring","SSP5_85",4573.07322020243,4682.50024976356,4770.14985970033
"245",2066-07-16,"2066","07","16","Summer","SSP5_85",4697.40493794139,4777.17692219343,4851.31140694807
"246",2066-10-16,"2066","10","16","Fall","SSP5_85",4685.48312799585,4766.33144313371,4846.0424578978
"247",2067-03-16,"2067","03","16","Spring","SSP5_85",4575.0649156149,4683.6946520281,4773.04823717866
"248",2067-07-16,"2067","07","16","Summer","SSP5_85",4699.22950187612,4777.22285601978,4855.79782898887
"249",2067-10-16,"2067","10","16","Fall","SSP5_85",4685.00859613821,4766.44087706046,4843.58566154582
