gffishingyear,q_fy,stockcode,stock_string,spstock2,live_price_nom,live_price_R
2012,1,12,Pollock,pollock,.75492448,.73992246
2012,1,13,Redfish,redfish,.63169014,.61913705
2012,1,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.3442553,1.317542
2012,1,15,White Hake,whitehake,1.2455876,1.220835
2012,1,16,Witch Flounder,witchflounder,1.9621738,1.9231811
2012,1,17,SNEMA Winter Flounder,,1.5365031,1.5059694
2012,2,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.50491,1.4980435
2012,2,2,GBE Cod,codGB,2.3101792,2.2996385
2012,2,3,GBW Cod,codGB,2.3049014,2.2943847
2012,2,4,GBE Haddock,haddockGB,2.103718,2.0941195
2012,2,5,GBW Haddock,haddockGB,2.1551142,2.1452811
2012,2,6,GB Winter Flounder,winterflounderGB,2.243891,2.2336528
2012,2,7,GB Yellowtail Flounder,yellowtailflounderGB,1.6475432,1.640026
2012,2,8,GOM Cod,codGOM,2.5798743,2.5681031
2012,2,9,GOM Haddock,haddockGOM,2.2746301,2.2642517
2012,2,10,GOM Winter Flounder,winterflounderGOM,2.064579,2.0551591
2012,2,11,Plaice,americanplaiceflounder,1.5262867,1.5193228
2012,2,12,Pollock,pollock,1.0071079,1.0025127
2012,2,13,Redfish,redfish,.57772911,.57509309
2012,2,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.8504777,1.8420346
2012,2,15,White Hake,whitehake,1.2574055,1.2516683
2012,2,16,Witch Flounder,witchflounder,1.7106806,1.7028753
2012,2,17,SNEMA Winter Flounder,,1.6213592,1.6139615
2012,3,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.4501393,1.4543519
2012,3,2,GBE Cod,codGB,1.6423202,1.647091
2012,3,3,GBW Cod,codGB,1.8761306,1.8815807
2012,3,4,GBE Haddock,haddockGB,1.842556,1.8479085
2012,3,5,GBW Haddock,haddockGB,2.0993009,2.1053991
