Stock,Total,DirectedFishery,Sector,Common Pool,Recreational,Herring Fishery,Scallop Fishery,State Water,Other,Year,Small Mesh,data_type
SNE/MA Winter Flounder,550.5,409.3,372,37.2,NA,NA,NA,23.2,118,2017,NA,Catch
Redfish,4661.5,4647.5,4646.5,1,NA,NA,NA,4.1,9.9,2017,NA,Catch
White Hake,2035.6,2023.4,2022.9,0.5,NA,NA,NA,1.2,11,2017,NA,Catch
Pollock,4421.4,3008.5,2990,18.4,NA,NA,NA,635.5,777.4,2017,NA,Catch
Northern Windowpane,87.4,35.1,33.9,1.2,NA,NA,44.1,0.5,7.7,2017,NA,Catch
Southern Windowpane,440.9,71.5,66.3,5.2,NA,NA,143.9,24.5,201,2017,NA,Catch
Ocean Pout,28.2,11.1,10.7,0.4,NA,NA,NA,0.3,16.8,2017,NA,Catch
Halibut,107.4,68.3,68.2,0.1,NA,NA,NA,31.7,7.5,2017,NA,Catch
Wolffish,1.7,1.6,1.6,0,NA,NA,NA,0.1,0,2017,NA,Catch
GB Cod,3620,3430,3302,128,NA,NA,NA,38,152,2010,NA,ACL
GOM Cod,8088,7240,4327,240,2673,NA,NA,566,283,2010,NA,ACL
GB Haddock,42768,40440,40186,254,NA,84,NA,449,1796,2010,NA,ACL
GOM Haddock,1197,1149,799,26,324,2,NA,9,37,2010,NA,ACL
GB Yellowtail Flounder,1021,823,803,20,NA,NA,146,0,52,2010,NA,ACL
SNE Yellowtail Flounder,470,310,235,75,NA,NA,135,5,20,2010,NA,ACL
CC/GOM Yellowtail Flounder,822,779,729,50,NA,NA,NA,9,35,2010,NA,ACL
Plaice,3006,2848,2748,100,NA,NA,NA,32,126,2010,NA,ACL
Witch Flounder,899,852,827,25,NA,NA,NA,9,38,2010,NA,ACL
GB Winter Flounder,1955,1852,1823,29,NA,NA,NA,0,103,2010,NA,ACL
GOM Winter Flounder,231,158,133,25,NA,NA,NA,60,12,2010,NA,ACL
SNE/MA Winter Flounder,605,520,NA,NA,NA,NA,NA,53,32,2010,NA,ACL
Redfish,7226,6846,6756,90,NA,NA,NA,76,303,2010,NA,ACL
White Hake,2697,2556,2505,51,NA,NA,NA,28,113,2010,NA,ACL
Pollock,18929,16553,16178,375,NA,NA,NA,1188,1188,2010,NA,ACL
